,inf_mean_dist,inf_var_dist,fat_contact,fat_area,hair_contact,hair_area,max_inf_ratio
2019-10-30 02.01.19.ndpi,9.258187276615994,24.55977326820993,9.0,28.0,275.0,455.0,0.038177339901477834
2019-10-30 02.02.21.ndpi,9.58976776725027,15.287251856123842,55.0,82.0,337.0,213.0,0.48893572181243417
2019-10-30 02.05.46.ndpi,3.279565278551982,7.8693689763886985,16.0,1047.0,403.0,720.0,0.03319838056680162
2019-10-30 02.03.40.ndpi,3.6543338899076345,4.275316554893631,17.0,182.0,53.0,41.0,0.05826271186440678
2019-10-30 02.04.50.ndpi,1.8315951152995062,0.6477881229044775,2.0,215.0,58.0,87.0,0.015065913370998116
2019-10-30 02.09.05.ndpi,2.2935615440339987,2.907430631780612,4.0,308.0,80.0,338.0,0.011180124223602485
2019-10-30 02.07.27.ndpi,8.482641646055368,106.12625896451758,22.0,382.0,264.0,189.0,0.047994000749906264
2019-10-30 02.10.47.ndpi,3.5529061137131728,10.980701523948492,22.0,1517.0,511.0,862.0,0.012396694214876033
2019-10-30 02.14.37.ndpi,1.9945126926612953,1.2912669448999454,4.0,588.0,37.0,77.0,0.011644832605531296
2019-10-30 02.18.03.ndpi,4.759084887549083,7.773055933667532,4.0,94.0,285.0,458.0,0.031578947368421054
2019-10-30 02.19.24.ndpi,5.529358464054729,91.30569398992576,4.0,10344.0,236.0,371.0,0.022850412249705535
2019-10-30 02.15.32.ndpi,10.281564991948718,55.15042802983394,13.0,591.0,615.0,5077.0,0.005959906086328337
2019-10-30 02.23.07.ndpi,14.321055431201781,42.454368304358965,101.0,485.0,29.0,51.0,0.7753076617705439
2019-10-30 01.59.42.ndpi,7.1754197731305736,30.988903956781154,72.0,321.0,142.0,144.0,0.03118201595358956
350013D01170 - 2019-10-30 02.21.40.ndpi,5.557644002330115,24.768142332736836,6.0,1394.0,61.0,139.0,0.007366482504604052
2019-10-30 02.13.08.ndpi,2.84643016883845,6.166760897992317,4.0,99.0,1.0,8.0,0.12432432432432433
